Sample,Ecological_zone
11_SRF,TT_SUR
18_SRF,TT_SUR
18_DCM,TT_DCM
22_SRF,TT_SUR
23_DCM,TT_DCM
25_SRF,TT_SUR
25_DCM,TT_DCM
30_DCM,TT_DCM
31_SRF,TT_SUR
32_SRF,TT_SUR
32_DCM,TT_DCM
33_SRF,TT_SUR
34_SRF,TT_SUR
34_DCM,TT_DCM
36_SRF,TT_SUR
36_DCM,TT_DCM
37_MES,TT_MES
38_SRF,TT_SUR
38_DCM,TT_DCM
38_MES,TT_MES
39_SRF,TT_SUR
39_DCM,TT_DCM
39_MES,TT_MES
41_SRF,TT_SUR
41_DCM,TT_DCM
42_SRF,TT_SUR
42_DCM,TT_DCM
45_SRF,TT_SUR
46_SRF,TT_SUR
48_SRF,TT_SUR
52_SRF,TT_SUR
52_DCM,TT_DCM
56_SRF,TT_SUR
56_MES,TT_MES
58_DCM,TT_DCM
62_SRF,TT_SUR
64_SRF,TT_SUR
64_DCM,TT_DCM
64_MES,TT_MES
65_SRF,TT_SUR
65_DCM,TT_DCM
66_SRF,TT_SUR
66_DCM,TT_DCM
67_SRF,TT_SUR
68_SRF,TT_SUR
68_DCM,TT_DCM
68_MES,TT_MES
70_SRF,TT_SUR
70_MES,TT_MES
72_SRF,TT_SUR
72_DCM,TT_DCM
76_SRF,TT_SUR
76_DCM,TT_DCM
76_MES,TT_MES
78_SRF,TT_SUR
78_DCM,TT_DCM
78_MES,TT_MES
82_SRF,ANT_SUR
82_DCM,ANT_DCM
84_SRF,ANT_SUR
85_SRF,ANT_SUR
85_DCM,ANT_DCM
100_SRF,TT_SUR
100_DCM,TT_DCM
100_dDCM,TT_MES
102_SRF,TT_SUR
102_DCM,TT_DCM
109_SRF,TT_SUR
109_DCM,TT_DCM
111_SRF,TT_SUR
111_DCM,TT_DCM
111_MES,TT_MES
122_SRF,TT_SUR
122_DCM,TT_DCM
122_MES,TT_MES
123_SRF,TT_SUR
123_MIX,TT_DCM
124_SRF,TT_SUR
124_MIX,TT_DCM
125_SRF,TT_SUR
125_MIX,TT_DCM
137_SRF,TT_SUR
137_DCM,TT_DCM
137_MES,TT_MES
138_SRF,TT_SUR
138_DCM,TT_DCM
138_MES,TT_MES
155_DCM,ARC_DCM
155_MES,ARC_MES
158_SRF,ARC_SUR
158_DCM,ARC_DCM
158_MES,ARC_MES
163_SRF,ARC_SUR
163_MES,ARC_MES
168_SRF,ARC_SUR
168_DCM,ARC_DCM
168_MIX,ARC_DCM
173_SRF,ARC_SUR
173_DCM,ARC_DCM
175_SRF,ARC_SUR
175_MIX,ARC_DCM
175_ZZZ,ARC_MES
178_SRF,ARC_SUR
180_SRF,ARC_SUR
180_DCM,ARC_DCM
188_SRF,ARC_SUR
188_DCM,ARC_DCM
189_SRF,ARC_SUR
189_DCM,ARC_DCM
189_MES,ARC_MES
191_SRF,ARC_SUR
193_SRF,ARC_SUR
194_SRF,ARC_SUR
194_DCM,ARC_DCM
196_SRF,ARC_SUR
201_SRF,ARC_SUR
201_DCM,ARC_DCM
201_MES,ARC_MES
205_SRF,ARC_SUR
205_MES,ARC_MES
206_SRF,ARC_SUR
206_MES,ARC_MES
208_SRF,ARC_SUR
209_SRF,ARC_SUR
209_MES,ARC_MES
210_SRF,ARC_SUR
210_MES,ARC_MES
MSP81,BATHY
MSP82,BATHY
MSP91,BATHY
MSP97,BATHY
MSP103,BATHY
MSP109,BATHY
MSP112,BATHY
MSP118,BATHY
MSP121,BATHY
MSP131,BATHY
MSP114,TT_MES
MSP134,BATHY
MSP144,BATHY
MSP146,BATHY
