"","virus","pVal","phase","peak.shape","period","p.adj"
"2","T76_S__k141_432020||full",0.00302328272917257,8,16,24,0.0490444918765397
"4","T48_S__k141_621235||full",6.10813511838382e-05,16,8,24,0.0156932407447844
"8","T84_S__k141_777595||full",0.00177132013351933,16,8,24,0.0383981608890215
"10","T36_S__k141_343822||full",0.00193234923656654,16,8,24,0.0394353515457819
"12","T16_D__k141_1121563||full",0.000479532712711673,16,8,24,0.0242683243402119
"16","T48_S__k141_273297||full",0.00121236287629883,8,16,24,0.0326905954194876
"21","T80_S__k141_961122||full",0.000811054353873167,8,16,24,0.0287567945992524
"22","T88_S_k141_185289||full",0.000379998922775293,16,8,24,0.022635409387653
"24","T40_D__k141_1182991||full",0.000104982986829921,16,12,24,0.0173617725581805
"25","T12_S__k141_46771||full",0.000858642210921759,16,8,24,0.0287567945992524
"28","T44_S__k141_328544||full",0.00111496396028117,16,8,24,0.0318298907622438
"29","T68_S__k141_1085402||full",0.000783977670841606,16,8,24,0.0287567945992524
"31","T8_S__k141_469420||full",0.00117446225254147,8,20,24,0.0319712523699148
"32","T108_S__k141_332053||full",1.63918849759368e-05,16,8,24,0.0134546814510961
"38","T28_S__k141_678681||full",0.00137785637840167,16,8,24,0.0349083316051522
"39","T84_S__k141_1061983||full",0.00288528746104664,16,8,24,0.0482515468754398
"41","T4_S__k141_1024259||full",0.000501329654198568,16,8,24,0.0243358535905498
"43","T84_S__k141_346367||full",0.00185183468504293,16,8,24,0.039333618476868
"52","T12_S__k141_1381072||full",0.000175855166927301,12,12,24,0.0191808874413408
"57","T64_S__k141_883965||full",0.000153042633344328,16,8,24,0.0191512884950881
"58","T88_D__k141_562158||full",0.00191382773041847,8,20,24,0.0394353515457819
"60","T72_S__k141_146273||full",0.000965426510700262,20,4,24,0.0303201524385164
"64","T88_D__k141_880977||full",0.00195833645163309,16,12,24,0.0395276058629358
"66","T100_S__k141_707353||full",0.00116344065420643,16,8,24,0.0318980288616093
"67","T80_S__k141_250244||full",0.00217886606148302,12,12,24,0.0417881050757103
"69","T52_D__k141_618716||full",0.00014466187505163,16,12,24,0.0188324873252697
"70","T104_S__k141_354646||full",0.00116344065420643,16,8,24,0.0318980288616093
"78","T72_S__k141_441296||full",0.000410654970440841,12,12,24,0.0232598817643381
"80","T12_S__k141_40131||full",0.00274880740943967,8,20,24,0.046856474911772
"81","T100_S__k141_61538||full",0.000460639832149528,8,16,24,0.0242683243402119
"82","T32_S__k141_1075293||full",0.00257809152338086,12,12,24,0.0450240953098767
"85","T56_S__k141_237817||full",0.000410654970440841,16,12,24,0.0232598817643381
"89","T16_D__k141_1325435||full",0.000182639829104793,12,20,24,0.0192714701447238
"98","T36_S__k141_794223||full",0.00111496396028117,16,8,24,0.0318298907622438
"103","T4_S__k141_35732||full",0.00106687933114297,8,16,24,0.0317983017443167
"104","T32_S__k141_601777||full",0.000821309940881683,16,8,24,0.0287567945992524
"106","T0_S__k141_715886||full",0.00286882129410629,16,12,24,0.0482515468754398
"110","T96_S__k141_285120||full",0.000821309940881683,16,8,24,0.0287567945992524
"111","T32_S__k141_1037254||full",0.000849575329416231,20,4,24,0.0287567945992524
"114","T36_S__k141_781417||full",0.00144048621378356,16,8,24,0.0349083316051522
"115","T12_S__k141_842569||full",0.000688928189200835,20,4,24,0.0269904407936177
"117","T84_S__k141_988493||full",0.00221432685799376,8,16,24,0.0422352977861056
