sample	cast	sample	day	time	depth_m	depth_ID	NEW_depth_num_filler	CTD_Btl	condition	day_night	cast_day_depth
SX.3	1	SX.3	12	1600	50	BML	50	21	12_1600_BML	day	1_12_50
SX.17	3	SX.17	13	0	50	BML	50	24	13_0000_BML	night	3_13_50
SX.25	5	SX.25	13	800	50	BML	50	10	13_0800_BML	day	5_13_50
SX.26	5	SX.26	13	800	50	BML	50	10	13_0800_BML	day	5_13_50
SX.35	6	SX.35	13	1200	50	BML	50	24	13_1200_BML	day	6_13_50
SX.57	9	SX.57	14	0	50	BML	50	24	14_0000_BML	night	9_14_50
SX.62	10	SX.62	14	400	50	BML	50	na	14_0400_BML	night	10_14_50
SX.87	14	SX.87	14	2000	50	BML	50	10	14_2000_BML	night	14_14_50
SX.88	14	SX.88	14	2000	50	BML	50	10	14_2000_BML	night	14_14_50
SX.97	15	SX.97	15	0	44	BML	50	24	15_0000_BML	night	15_15_44
SX.115	18	SX.115	15	1200	40	BML	50	24	15_1200_BML	day	18_15_40
SX.119	19	SX.119	15	1600	45	BML	50	24	15_1600_BML	day	19_15_45
SX.123	20	SX.123	15	2000	50	BML	50	8	15_2000_BML	night	20_15_50
SX.124	20	SX.124	15	2000	50	BML	50	8	15_2000_BML	night	20_15_50
SX.134	21	SX.134	16	0	42	BML	50	24	16_0000_BML	night	21_16_42
SX.141	23	SX.141	16	800	42	BML	50	12	16_0800_BML	day	23_16_42
SX.142	23	SX.142	16	800	42	BML	50	12	16_0800_BML	day	23_16_42
SX.152	24	SX.152	16	1200	45	BML	50	22	16_1200_BML	day	24_16_45
SX.158	25	SX.158	16	1600	50	BML	50	24	16_1600_BML	day	25_16_50
SX.161	26	SX.161	16	2000	50	BML	50	10	16_2000_BML	night	26_16_50
SX.162	26	SX.162	16	2000	50	BML	50	10	16_2000_BML	night	26_16_50
SX.172	27	SX.172	17	0	42	BML	50	24	17_0000_BML	night	27_17_42
SX.176	28	SX.176	17	400	46	BML	50	24	17_0400_BML	night	28_17_46
SX.179	29	SX.179	17	800	48	BML	50	10	17_0800_BML	day	29_17_48
SX.180	29	SX.180	17	800	48	BML	50	10	17_0800_BML	day	29_17_48
SX.11	2	SX.11	12	2000	105	DCM	110	16	12_2000_DCM	night	2_12_105
SX.31	5	SX.31	13	800	120	DCM	110	16	13_0800_DCM	day	5_13_120
SX.69	11	SX.69	14	800	110	DCM	110	16	14_0800_DCM	day	11_14_110
SX.70	11	SX.70	14	800	110	DCM	110	16	14_0800_DCM	day	11_14_110
SX.91	14	SX.91	14	2000	105	DCM	110	18	14_2000_DCM	night	14_14_105
SX.109	17	SX.109	15	800	110	DCM	110	18	15_0800_DCM	day	17_15_110
SX.110	17	SX.110	15	800	110	DCM	110	18	15_0800_DCM	day	17_15_110
SX.128	20	SX.128	15	2000	115	DCM	110	15	15_2000_DCM	night	20_15_115
SX.146	23	SX.146	16	800	110	DCM	110	18	16_0800_DCM	day	23_16_110
SX.165	26	SX.165	16	2000	108	DCM	110	18	16_2000_DCM	night	26_16_108
SX.166	26	SX.166	16	2000	108	DCM	110	18	16_2000_DCM	night	26_16_108
SX.183	29	SX.183	17	800	118	DCM	110	18	17_0800_DCM	day	29_17_118
SX.184	29	SX.184	17	800	118	DCM	110	18	17_0800_DCM	day	29_17_118
SX.7	2	SX.7	12	2000	50	O2M	55	10	12_2000_BML	night	2_12_50
SX.8	2	SX.8	12	2000	50	O2M	55	10	12_2000_BML	night	2_12_50
SX.10	2	SX.10	12	2000	55	O2M	55	13	12_2000_O2M	night	2_12_55
SX.9	2	SX.9	12	2000	55	O2M	55	13	12_2000_O2M	night	2_12_55
SX.22	4	SX.22	13	400	50	O2M	55	24	13_0400_BML	night	4_13_50
SX.27	5	SX.27	13	800	60	O2M	55	13	13_0800_O2M	day	5_13_60
SX.28	5	SX.28	13	800	60	O2M	55	13	13_0800_O2M	day	5_13_60
SX.43	7	SX.43	13	1600	50	O2M	55	24	13_1600_BML	day	7_13_50
SX.47	8	SX.47	13	2000	50	O2M	55	10	13_2000_BML	night	8_13_50
SX.48	8	SX.48	13	2000	50	O2M	55	10	13_2000_BML	night	8_13_50
SX.49	8	SX.49	13	2000	60	O2M	55	13	13_2000_O2M	night	8_13_60
SX.63	11	SX.63	14	800	50	O2M	55	10	14_0800_BML	day	11_14_50
SX.64	11	SX.64	14	800	50	O2M	55	10	14_0800_BML	day	11_14_50
SX.67	11	SX.67	14	800	60	O2M	55	13	14_0800_O2M	day	11_14_60
SX.68	11	SX.68	14	800	60	O2M	55	13	14_0800_O2M	day	11_14_60
SX.76	12	SX.76	14	1200	50	O2M	55	24	14_1200_BML	day	12_14_50
