"","virus","pVal","phase","peak.shape","period","p.adj"
"5","T76_S__k141_426764||full",0.000388876080773272,8,16,24,0.0230226049384939
"6","T88_S_k141_1051064||full",0.00198043451364939,8,16,24,0.0395276058629358
"7","T12_S__k141_332025||full",0.00259367275078157,12,12,24,0.0450525050125
"9","T84_S__k141_567117||full",0.00245569380076853,8,16,24,0.0441872882844828
"11","T112_S__k141_11435||full",0.000501329654198568,16,8,24,0.0243358535905498
"13","T108_S__k141_546405||full",0.00289640800295085,8,16,24,0.0482515468754398
"14","T40_S__k141_280071||full",0.000947411391292494,8,16,24,0.0299388585833509
"17","T8_S__k141_121971||full",0.00143879233478458,12,12,24,0.0349083316051522
"18","T12_S__k141_1014303||full",0.00181539830417861,8,16,24,0.039039124811173
"19","T84_S__k141_28469||full",0.00236910017970032,16,8,24,0.0437069651438199
"20","T56_S__k141_963929||full",0.000132557563720407,12,12,24,0.0182891672246492
"23","T20_S__k141_352681||full",0.000138032350435362,8,16,24,0.0184149605148312
"27","T60_S__k141_897724||full",0.00042960343295181,12,12,24,0.0237498117020436
"30","T20_S__k141_1090038||full",0.00137785637840167,16,8,24,0.0349083316051522
"33","T96_S__k141_94350||full",0.00208413275446202,12,12,24,0.0406941832701145
"34","T108_S__k141_705929||full",0.000925917342521466,12,12,24,0.029675926580827
"35","T24_S__k141_600484||full",0.00071939616739229,8,16,24,0.0275078337386082
"36","T56_S__k141_743420||full",1.38067527530972e-05,12,12,24,0.0121569713150362
"37","T28_S__k141_1286155||full",0.000144306548182424,8,16,24,0.0188324873252697
"40","T28_S__k141_3218||full",0.000688928189200835,12,12,24,0.0269904407936177
"42","T100_S__k141_51734||full",0.000904347237142835,16,8,24,0.029285845794391
"44","T92_S__k141_318887||full",0.00137339268320346,12,12,24,0.0349083316051522
"46","T88_S_k141_296049||full",3.88457811950037e-05,8,16,24,0.0148127833993042
"47","T12_S__k141_1164047||full",0.00292781457811997,16,8,24,0.048657585583114
"48","T80_S__k141_1698||full",0.000470518045613887,12,12,24,0.0242683243402119
"49","T100_S__k141_115723||full",0.00168830439766374,8,16,24,0.0370967356488473
"50","T40_S__k141_2701||full",0.000255378667967839,8,16,24,0.0206678603286038
"51","T36_S__k141_939036||full",0.0019809510908843,12,12,24,0.0395276058629358
"53","T92_S__k141_1120738||full",0.000961762487015547,8,16,24,0.030250317357101
"54","T24_S__k141_164650||full",0.00106687933114297,8,16,24,0.0317983017443167
"55","T32_S__k141_882274||full",0.00145895893220509,8,16,24,0.0349083316051522
"56","T28_S__k141_376519||full",0.00316070467140768,8,16,24,0.0494560923511894
"59","T40_S__k141_1028630||full",0.00198043451364939,8,16,24,0.0395276058629358
"61","T76_S__k141_156134||full",0.00156574588454735,16,8,24,0.0356028964133435
