Sample_id	Date	Time	Lat 	Long	Salinity	Temp
T0_S	10-12-19	16:00	31.40.149	-64.10.060	36.628	26.559
T4_S	10-12-19	20:00	31.41.611	-64.8.992	36.631	26.488
T8_S	10-13-19	0:00	31.42.577	-64.7.745	36.6	26.46
T12_S	10-13-19	4:00	31.40.519	-64.7.777	26.46	26.425
T16_S	10-13-19	8:00	31.40.562	-64.9.059	36.666	26.404
T20_S	10-13-19	12:00	31.41.995	-64.11.515	36.672	26.519
T24_S	10-13-19	16:00	31.43.218	-64.11.534	36.638	26.619
T28_S	10-13-19	20:00	31.43.548	-64.11.450	36.633	26.52
T32_S	10-14-19	0:00	31.43.302	-64.11.617	36.651	26.492
T36_S	10-14-19	4:00	31.42.301	-64.12.090	36.654	26.4
T40_S	10-14-19	8:00	31.42.050	-64.14.987	36.681	26.424
T44_S	10-14-19	12:00	31.43.830	-64.16.300	36.641	26.454
T48_S	10-14-19	16:00	31.44.703	-64.16.420	36.633	26.8
T52_S	10-14-19	20:00	31.44.138	-64.16.450	36.656	26.674
T56_S	10-15-19	0:00	31.44.029	-64.17.481	36.616	26.555
T60_S	10-15-19	4:00	31.43.222	-64.18.817	36.68	26.474
T64_S	10-15-19	8:00	31.44.266	-64.20.618	36.683	26.432
T68_S	10-15-19	12:00	31.46.047	-64.21.622	36.681	26.596
T72_S	10-15-19	16:00	31.45.529	-64.19.956	36.701	27.049
T76_S	10-15-19	20:00	31.44.791	-64.20.312	36.661	26.635
T80_S	10-16-19	0:00	31.45.084	-64.21.505	36.618	26.598
T84_S	10-16-19	4:00	31.45.410	-64.22.410	36.62	26.423
T88_S	10-16-19	8:00	31.46.152	-64.22.469	36.631	26.451
T92_S	10-16-19	12:00	31.46.470	-64.22.356	36.626	26.544
T96_S	10-16-19	16:00	31.46.881	-64.22.550	36.646	26.877
T100_S	10-16-19	20:00	31.47.574	-64.22.799	36.611	26.582
T104_S	10-17-19	0:00	31.48.414	-64.22.730	36.634	26.509
T108_S	10-17-19	4:00	31.48.725	-64.23.005	36.615	26.41
T112_S	10-17-19	8:00	31.49.636	-64.22.871	36.625	26.397
