"","site","inv_simp","cluster","depth","Time_points"
"T16_D","T16_D",25578.1612832946,"Cluster 1","DCM","T16"
"T40_D","T40_D",23709.4520992498,"Cluster 2","DCM","T40"
"T52_D","T52_D",22986.6069467907,"Cluster 3","DCM","T52"
"T64_D","T64_D",22918.326219027,"Cluster 3","DCM","T64"
"T76_D","T76_D",24157.0175852509,"Cluster 3","DCM","T76"
"T88_D","T88_D",24360.5048989618,"Cluster 3","DCM","T88"
"T100_D","T100_D",24134.2796837906,"Cluster 3","DCM","T100"
"T112_D","T112_D",23769.3068683517,"Cluster 3","DCM","T112"
"T0_S","T0_S",25354.8942672678,"Cluster 4","SUR","T0"
"T4_S","T4_S",26874.2993849605,"Cluster 4","SUR","T4"
"T8_S","T8_S",27169.2808678357,"Cluster 4","SUR","T8"
"T12_S","T12_S",26812.4518368617,"Cluster 4","SUR","T12"
"T16_S","T16_S",26507.0922643179,"Cluster 4","SUR","T16"
"T20_S","T20_S",26603.8139399333,"Cluster 4","SUR","T20"
"T24_S","T24_S",26684.7975056756,"Cluster 4","SUR","T24"
"T28_S","T28_S",26979.8380977817,"Cluster 4","SUR","T28"
"T32_S","T32_S",26292.2305017169,"Cluster 4","SUR","T32"
"T36_S","T36_S",26999.834835907,"Cluster 4","SUR","T36"
"T40_S","T40_S",26575.2035796645,"Cluster 4","SUR","T40"
"T44_S","T44_S",26781.4511913063,"Cluster 4","SUR","T44"
"T48_S","T48_S",26363.4855954013,"Cluster 4","SUR","T48"
"T56_S","T56_S",26246.2150372119,"Cluster 4","SUR","T56"
"T60_S","T60_S",26575.8578237225,"Cluster 4","SUR","T60"
"T64_S","T64_S",26242.833035809,"Cluster 4","SUR","T64"
"T68_S","T68_S",26477.9979349539,"Cluster 4","SUR","T68"
"T72_S","T72_S",26279.6439437289,"Cluster 4","SUR","T72"
"T76_S","T76_S",25748.266231482,"Cluster 4","SUR","T76"
"T80_S","T80_S",24968.5463292654,"Cluster 4","SUR","T80"
"T84_S","T84_S",26494.1069095274,"Cluster 5","SUR","T84"
"T92_S","T92_S",25258.1072328708,"Cluster 5","SUR","T92"
"T96_S","T96_S",23679.6485918877,"Cluster 5","SUR","T96"
"T100_S","T100_S",23872.7841201784,"Cluster 5","SUR","T100"
"T104_S","T104_S",24671.8913011643,"Cluster 5","SUR","T104"
"T108_S","T108_S",26442.3775671062,"Cluster 5","SUR","T108"
"T112_S","T112_S",26660.8940722793,"Cluster 5","SUR","T112"
