"X","Virus","taxonomy_g"
1,"T0_S__k141_1034375||full","Croceibacter"
2,"T0_S__k141_112501||0_partial_1","Thalassospira"
3,"T0_S__k141_11813||full","Prochlorococcus_B"
4,"T0_S__k141_172103||0_partial_1","ARS23"
5,"T0_S__k141_18291||full","ARS21"
6,"T0_S__k141_286210||full","Myroides"
7,"T0_S__k141_32713||full","Winogradskyella"
8,"T0_S__k141_345022||0_partial_1","Alishewanella"
9,"T0_S__k141_345022||0_partial_1","Arsukibacterium"
10,"T0_S__k141_428992||full","TMED113"
11,"T0_S__k141_636399||full","Pelagibacter"
12,"T0_S__k141_636399||full","MED727"
13,"T0_S__k141_641826||full","Winogradskyella"
14,"T0_S__k141_641826||full","Winogradskyella"
15,"T0_S__k141_71719||full","AG-337-I02"
16,"T0_S__k141_758262||full","UBA7916"
17,"T0_S__k141_823391||full","CACNXK01"
18,"T0_S__k141_862090||full_1","Halomonas"
19,"T100_D__k141_12450||0_partial_1","Marinobacter"
20,"T100_D__k141_125226||full","Prochlorococcus_B"
21,"T100_D__k141_128117||full","Pusillimonas_A"
22,"T100_D__k141_133956||full","Hyphobacterium"
23,"T100_D__k141_148848||full","DUAL01"
24,"T100_D__k141_184494||full","BRH-c54"
25,"T100_D__k141_186224||full","ARS10"
26,"T100_D__k141_189055||full","Flavobacterium"
27,"T100_D__k141_191715||full","Prochlorococcus"
28,"T100_D__k141_225242||full","Winogradskyella"
29,"T100_D__k141_247292||full","AEGEAN-183"
30,"T100_D__k141_247494||full","Joostella"
31,"T100_D__k141_248145||full_1","Capnocytophaga"
32,"T100_D__k141_251643||full","MB11C04"
33,"T100_D__k141_253853||full","GCA-2704625"
34,"T100_D__k141_254053||full","UBA2968"
35,"T100_D__k141_298136||full","Prochlorococcus_B"
36,"T100_D__k141_311999||full","UBA1994"
37,"T100_D__k141_356184||full","Pseudomonas_E"
38,"T100_D__k141_358089||full","ARS10"
39,"T100_D__k141_362678||full","BRH-c54"
40,"T100_D__k141_395770||full","Hyphobacterium"
41,"T100_D__k141_422596||full","Croceibacter"
42,"T100_D__k141_429380||full","Yeosuana"
43,"T100_D__k141_437490||full","GCA-2697505"
44,"T100_D__k141_452336||full","Winogradskyella"
45,"T100_D__k141_529899||full","Ochrobactrum_A"
46,"T100_D__k141_542397||full","ARS21"
47,"T100_D__k141_550014||full","GCA-2697505"
48,"T100_D__k141_559710||full","Croceibacter"
49,"T100_D__k141_564268||full","Casp-actino5"
50,"T100_D__k141_58971||full","Croceibacter"
51,"T100_D__k141_593143||full","Croceibacter"
52,"T100_D__k141_594657||full","Hyphobacterium"
53,"T100_D__k141_60190||full","UBA7805"
54,"T100_D__k141_601920||full","Cellulophaga"
55,"T100_D__k141_607252||full","ARS21"
56,"T100_D__k141_608534||full","Croceibacter"
57,"T100_D__k141_610238||full","ARS23"
58,"T100_D__k141_612872||full","Hyphobacterium"
59,"T100_D__k141_636677||full","UBA7377"
60,"T100_D__k141_666219||full","TMED112"
61,"T100_D__k141_687506||full","Hyphobacterium"
62,"T100_D__k141_701816||full","Croceibacter"
63,"T100_D__k141_714961||full","Pectobacterium"
64,"T100_D__k141_717934||full","Prochlorococcus_B"
65,"T100_D__k141_723505||full","MGIIa-K1"
66,"T100_D__k141_730418||full","BRH-c54"
67,"T100_D__k141_735015||full","Hyphobacterium"
68,"T100_D__k141_78638||full","Joostella"
69,"T100_D__k141_804071||full","PIVX01"
70,"T100_D__k141_851766||full","GCA-2704625"
71,"T100_D__k141_918815||full","UBA7377"
72,"T100_D__k141_933918||full","UBA3478"
73,"T100_D__k141_959488||full","BRH-c54"
74,"T100_S__k141_161398||full","UBA1994"
75,"T100_S__k141_219548||full","Hyphobacterium"
76,"T100_S__k141_265877||full","ARS21"
77,"T100_S__k141_374500||full","Croceibacter"
78,"T100_S__k141_484902||full","MB11C04"
79,"T100_S__k141_600775||full","Pusillimonas_A"
80,"T100_S__k141_61538||full","Actinomarina"
81,"T100_S__k141_656302||full","Balneicella"
82,"T100_S__k141_674932||full","Hyphobacterium"
83,"T100_S__k141_678697||full","B72-G16"
84,"T100_S__k141_683646||full","Pusillimonas_A"
85,"T100_S__k141_685451||full","AAA536-G10"
86,"T100_S__k141_707353||full","Pusillimonas_A"
87,"T100_S__k141_782660||full","Winogradskyella"
88,"T104_S__k141_17176||full","Hyphobacterium"
89,"T104_S__k141_17857||full","Aquimarina"
90,"T104_S__k141_17857||full","Aquimarina"
91,"T104_S__k141_182502||full","OM182"
