"vOTU_names","pVal","phase","peak.shape","period","p.adj"
"T88_S_k141_1242316||full",0.000450060739282848,24,12,24,0.0242683243402119
"T76_S__k141_432020||full",0.00302328272917257,8,16,24,0.0490444918765397
"T100_D__k141_239299||full",2.71576155536538e-05,16,12,24,0.0139876047649868
"T48_S__k141_621235||full",6.10813511838382e-05,16,8,24,0.0156932407447844
"T76_S__k141_426764||full",0.000388876080773272,8,16,24,0.0230226049384939
"T88_S_k141_1051064||full",0.00198043451364939,8,16,24,0.0395276058629358
"T12_S__k141_332025||full",0.00259367275078157,12,12,24,0.0450525050125
"T84_S__k141_777595||full",0.00177132013351933,16,8,24,0.0383981608890215
"T84_S__k141_567117||full",0.00245569380076853,8,16,24,0.0441872882844828
"T36_S__k141_343822||full",0.00193234923656654,16,8,24,0.0394353515457819
"T112_S__k141_11435||full",0.000501329654198568,16,8,24,0.0243358535905498
"T16_D__k141_1121563||full",0.000479532712711673,16,8,24,0.0242683243402119
"T108_S__k141_546405||full",0.00289640800295085,8,16,24,0.0482515468754398
"T40_S__k141_280071||full",0.000947411391292494,8,16,24,0.0299388585833509
"T28_S__k141_1094483||full",0.000331256382747241,24,12,24,0.0220661404452316
"T48_S__k141_273297||full",0.00121236287629883,8,16,24,0.0326905954194876
"T8_S__k141_121971||full",0.00143879233478458,12,12,24,0.0349083316051522
"T12_S__k141_1014303||full",0.00181539830417861,8,16,24,0.039039124811173
"T84_S__k141_28469||full",0.00236910017970032,16,8,24,0.0437069651438199
"T56_S__k141_963929||full",0.000132557563720407,12,12,24,0.0182891672246492
"T80_S__k141_961122||full",0.000811054353873167,8,16,24,0.0287567945992524
"T88_S_k141_185289||full",0.000379998922775293,16,8,24,0.022635409387653
"T20_S__k141_352681||full",0.000138032350435362,8,16,24,0.0184149605148312
"T40_D__k141_1182991||full",0.000104982986829921,16,12,24,0.0173617725581805
"T12_S__k141_46771||full",0.000858642210921759,16,8,24,0.0287567945992524
"T28_S__k141_1292113||full",0.000316199274440549,24,12,24,0.0219379361484287
"T60_S__k141_897724||full",0.00042960343295181,12,12,24,0.0237498117020436
"T44_S__k141_328544||full",0.00111496396028117,16,8,24,0.0318298907622438
"T68_S__k141_1085402||full",0.000783977670841606,16,8,24,0.0287567945992524
"T20_S__k141_1090038||full",0.00137785637840167,16,8,24,0.0349083316051522
"T8_S__k141_469420||full",0.00117446225254147,8,20,24,0.0319712523699148
"T108_S__k141_332053||full",1.63918849759368e-05,16,8,24,0.0134546814510961
"T96_S__k141_94350||full",0.00208413275446202,12,12,24,0.0406941832701145
"T108_S__k141_705929||full",0.000925917342521466,12,12,24,0.029675926580827
"T24_S__k141_600484||full",0.00071939616739229,8,16,24,0.0275078337386082
"T56_S__k141_743420||full",1.38067527530972e-05,12,12,24,0.0121569713150362
"T28_S__k141_1286155||full",0.000144306548182424,8,16,24,0.0188324873252697
"T28_S__k141_678681||full",0.00137785637840167,16,8,24,0.0349083316051522
"T84_S__k141_1061983||full",0.00288528746104664,16,8,24,0.0482515468754398
"T28_S__k141_3218||full",0.000688928189200835,12,12,24,0.0269904407936177
"T4_S__k141_1024259||full",0.000501329654198568,16,8,24,0.0243358535905498
"T100_S__k141_51734||full",0.000904347237142835,16,8,24,0.029285845794391
"T84_S__k141_346367||full",0.00185183468504293,16,8,24,0.039333618476868
"T92_S__k141_318887||full",0.00137339268320346,12,12,24,0.0349083316051522
"T44_S__k141_1280188||full",0.000607494139719867,24,12,24,0.0263252837660094
"T88_S_k141_296049||full",3.88457811950037e-05,8,16,24,0.0148127833993042
"T12_S__k141_1164047||full",0.00292781457811997,16,8,24,0.048657585583114
"T80_S__k141_1698||full",0.000470518045613887,12,12,24,0.0242683243402119
"T100_S__k141_115723||full",0.00168830439766374,8,16,24,0.0370967356488473
"T40_S__k141_2701||full",0.000255378667967839,8,16,24,0.0206678603286038
"T36_S__k141_939036||full",0.0019809510908843,12,12,24,0.0395276058629358
"T12_S__k141_1381072||full",0.000175855166927301,12,12,24,0.0191808874413408
"T92_S__k141_1120738||full",0.000961762487015547,8,16,24,0.030250317357101
"T24_S__k141_164650||full",0.00106687933114297,8,16,24,0.0317983017443167
"T32_S__k141_882274||full",0.00145895893220509,8,16,24,0.0349083316051522
"T28_S__k141_376519||full",0.00316070467140768,8,16,24,0.0494560923511894
