"","T0_S","T4_S","T8_S","T12_S","T16_S","T20_S","T24_S","T28_S","T32_S","T36_S","T40_S","T44_S","T48_S","T52_S","T56_S","T60_S","T64_S","T68_S","T72_S","T76_S","T80_S","T84_S","T88_S","T92_S","T96_S","T100_S","T104_S","T108_S","T112_S"
"AAA536-G10",1089.42675404878,1343.78838936275,1276.99788557318,1225.4906754686,1230.02160853108,960.088067633127,1085.59632805944,1121.43160623162,1382.55578794662,1252.83490353501,1111.6985591346,1040.58040382397,1007.07145594194,364.118681561852,1068.76471565617,1209.55414341554,1076.52317037309,957.764994691765,1225.42309448706,1197.82728756419,929.088060840818,1192.15691766364,406.021819626143,761.683820637251,1136.97788005574,1354.27546899647,1150.43707817278,1166.42604562932,1068.73764932425
"AEGEAN-183",651.531963065218,723.035311606706,749.416513119876,768.216677534338,715.620017610481,570.75934122432,513.660698495316,530.765972014784,729.689989906536,735.415328082672,659.488042412414,658.630853270581,606.228715387094,204.780751657256,708.461500050834,753.167588345764,699.243654683597,551.717070657832,667.2083985366,670.396061642645,559.340220396528,691.828631085566,239.784139817603,412.28753433867,728.473477678536,738.725780935395,615.231473632898,723.311005457845,659.813447410152
"AG-337-I02",6796.58918801861,8032.56977353693,8473.21675547413,8178.72614474355,8043.30429426542,5722.82237489312,6747.93079316167,6521.86724394215,9110.99154761613,7621.98468670916,6980.80663300403,6443.459682449,6450.29796468749,2378.36686745834,6993.62318951629,7552.96069819529,6866.26596815311,5951.70314611119,7428.69483519614,8367.33559382662,6422.45953134729,8261.78922869875,2642.61280558087,5193.60941644507,7134.77092821092,9252.68700302078,7285.12337929916,7721.53654929138,6737.62845567271
"ARS21",2639.54660053228,2955.01261485011,3290.40957100737,3169.13135262605,3141.56129802339,2373.61264705166,2749.59972466946,2492.43983888832,3400.46480962199,3019.03901280352,2506.82901655002,2443.29128843918,2465.97633647049,922.194846633606,2752.93789871602,2933.95518595823,2597.46645986401,2220.96163146663,2823.00406511908,3164.18580539162,2247.3072007754,2975.16932989533,984.428044620965,1836.20002501764,2812.83571696333,3661.64868597081,2952.20283152596,2993.23359170195,2507.76039011268
"ASP10-05a",60.7956821461288,60.4117763230991,67.1215351188285,76.1315795733169,110.49688583644,62.6765101717608,59.4632626613759,73.233409015471,116.643457579965,94.9909829240155,79.4722269428513,67.084223710697,66.8143498128949,22.2153468837543,73.8811858723941,86.5158859666517,65.2876466022042,54.230270682927,65.4233657626855,85.2967535513645,62.0609640094613,98.0597007114756,25.5304335014156,51.2086772698874,0,99.0981909519664,84.1890754054505,78.1362822199365,61.0763275175902
"Acinetobacter",1837.30393169789,2205.38661007357,2414.40795036599,2206.14745608296,2355.5156008552,1572.70523247701,1978.93490179958,1827.63528870085,2461.14918948872,2280.18886883627,1874.13635154437,1792.5233753106,1724.87253472482,624.108702268409,1858.66403067701,2019.8105010203,1818.62572792392,1592.38751063179,1864.8967091133,2347.59535679009,1848.41890923377,2181.25403056204,715.342474437027,1329.18689410474,2005.62362086946,2567.42958160919,2104.52911917653,2461.78465129743,1943.72614843531
"Actinomarina",6236.77924012433,7436.47427940104,8572.88753142656,7884.38246423919,7909.69400666125,5320.00518935202,6883.10683152065,6310.30267703934,8630.47533355043,7115.8313682425,6434.85516220328,6192.57312037361,6159.24199796989,2208.18055357133,6782.81245299411,6829.60000852844,6182.49635185494,5656.45001128674,6710.69675527913,8809.71450190272,6603.44911386763,8096.6321648035,2606.97039256116,5137.93670449928,6750.34456444698,9455.90705537208,7650.10041215482,8210.11210554248,7325.43984317832
"Alcaligenes",50.9872214713604,84.1618676668616,103.782513589991,79.2075152206643,92.4218431243745,64.640756022493,104.78264838362,76.0992219467576,95.4031588663907,87.3261381623391,64.7010082088888,83.679583956284,83.4662739032941,26.4076059459739,120.0337956446,97.0620362596667,62.2343135188675,36.9677201822431,54.8037722393372,107.208217054655,72.7074166958664,66.9461566373704,34.1694626810425,34.4695631487524,81.1706173756229,66.5733924063108,105.359402502574,91.7465178776354,65.6485030544008
"Algibacter_B",641.753835320243,697.80929812947,770.209701320982,768.558539424901,839.02417899057,439.677740139638,600.796758092038,553.789804658393,874.486026143433,683.121372065928,581.834366525375,577.730072945163,569.075448609218,183.219763970029,595.751292277918,560.946680457944,546.732729448961,483.05192448672,583.228585360303,901.381795527226,646.66395209254,797.662495249559,262.852727544879,500.048205532249,604.193530658708,1021.27683882638,819.68251320967,741.573414869031,715.099971245212
"Alteromonas",240.083558856385,255.326830601765,257.545568966947,242.795240962774,256.355978526637,156.681078028558,208.742186998047,214.462308586588,261.369406645269,218.39484601414,193.973642569698,209.904911164893,201.045869226796,67.3682463537482,186.69938409523,254.611169050436,214.53129460735,208.424674081075,217.523680550135,274.265288150727,207.986625940456,283.636474020123,95.6294061651349,190.423799082691,241.128303793813,327.489974232383,261.419462334019,250.271375696932,254.018182038952
"Anabaenopsis",1594.51244963424,1682.65494589558,1845.17242236621,1660.09079350731,2177.02211033056,1171.60047233174,1520.61076226824,1302.16682052208,1875.4361759577,1702.4318700643,1420.65626440931,1526.46403416452,1313.20835613192,477.503832131533,1362.07715011148,1811.83753385799,1415.87514651058,1273.84311638859,1333.24565026187,2226.23981721926,1773.99483907162,1785.68774138713,658.909832242713,1165.94463264073,1491.19587845984,2360.32437756333,2089.14763604771,2015.964509086,1683.62450734076
