gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
T0_S__k141_1049451__full-cat_1_14	T0_S__k141_1049451__full-cat_1	K00088	IMP dehydrogenase [EC:1.1.1.205] [RN:R01130]	MISC	Information systems	Nucleotide	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	1	MKF
T0_S__k141_11813__full-cat_1_41	T0_S__k141_11813__full-cat_1							2	MK
T0_S__k141_11813__full-cat_1_61	T0_S__k141_11813__full-cat_1							1	MK
T0_S__k141_11813__full-cat_1_74	T0_S__k141_11813__full-cat_1							1	MK
T0_S__k141_11813__full-cat_1_79	T0_S__k141_11813__full-cat_1							2	MK
T0_S__k141_11813__full-cat_1_87	T0_S__k141_11813__full-cat_1							2	MK
T0_S__k141_11813__full-cat_1_96	T0_S__k141_11813__full-cat_1							2	MK
T0_S__k141_11813__full-cat_1_118	T0_S__k141_11813__full-cat_1							2	MKF
T0_S__k141_135354__full-cat_1_15	T0_S__k141_135354__full-cat_1							1	MKF
T0_S__k141_18291__full-cat_1_2	T0_S__k141_18291__full-cat_1	K02706	psbD; photosystem II reaction center D2 protein [EC:1.10.3.9]	Energy	Photosynthesis		Photosystem II	2	MKEF
T0_S__k141_18291__full-cat_1_4	T0_S__k141_18291__full-cat_1							2	MKF
T0_S__k141_18291__full-cat_1_16	T0_S__k141_18291__full-cat_1							2	MK
T0_S__k141_18291__full-cat_1_32	T0_S__k141_18291__full-cat_1							1	MKE
T0_S__k141_22928__full-cat_1_10	T0_S__k141_22928__full-cat_1							2	MK
T0_S__k141_245686__full-cat_2_20	T0_S__k141_245686__full-cat_2	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	M
T0_S__k141_33194__full-cat_1_4	T0_S__k141_33194__full-cat_1							2	MKF
T0_S__k141_353432__full-cat_1_6	T0_S__k141_353432__full-cat_1							2	MK
T0_S__k141_353432__full-cat_1_7	T0_S__k141_353432__full-cat_1							2	MK
T0_S__k141_357784__full-cat_1_29	T0_S__k141_357784__full-cat_1	K00012	UGDH; UDP-Glc -> UDP-GlcA [EC:1.1.1.22]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	1	MKF
T0_S__k141_357784__full-cat_1_29	T0_S__k141_357784__full-cat_1	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	1	MKF
T0_S__k141_357784__full-cat_1_33	T0_S__k141_357784__full-cat_1	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	1	MKF
T0_S__k141_357784__full-cat_1_33	T0_S__k141_357784__full-cat_1	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	1	MKF
T0_S__k141_357784__full-cat_1_33	T0_S__k141_357784__full-cat_1	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	1	MKF
