seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
T16_D__k141_925135||full	1.000	0.760	1.000	dsDNAphage	67748	8	87.200	0.000
T88_D__k141_711087||full	1.000	0.453	1.000	dsDNAphage	65240	11	86.800	0.000
T52_D__k141_187691||full	1.000	0.733	1.000	dsDNAphage	62812	5	69.400	0.000
T100_D__k141_415408||full	1.000	0.260	1.000	dsDNAphage	62368	3	52.900	0.000
T40_D__k141_320230||full	1.000	0.513	1.000	dsDNAphage	60716	7	82.900	0.000
T88_D__k141_577951||full	1.000	0.267	1.000	dsDNAphage	60376	2	81.000	0.000
T52_D__k141_627562||full	1.000	0.360	1.000	dsDNAphage	59028	8	75.000	0.000
T40_S__k141_708090||full	1.000	0.320	1.000	dsDNAphage	58539	2	87.800	0.000
T16_D__k141_195101||full	0.993	0.007	0.993	dsDNAphage	58416	2	25.400	4.200
T64_S__k141_501336||full	1.000	0.193	1.000	dsDNAphage	57606	17	87.100	0.000
T52_S_k141_1284145||full	1.000	0.087	1.000	dsDNAphage	57080	7	40.600	1.400
T16_D__k141_464941||full	0.993	0.067	0.993	dsDNAphage	56184	3	73.800	2.500
T112_D__k141_455957||full	1.000	0.153	1.000	dsDNAphage	55915	4	87.700	0.000
T4_D_k141_180202||full	1.000	0.087	1.000	dsDNAphage	55772	2	49.200	0.000
T40_D__k141_1213772||full	1.000	0.133	1.000	dsDNAphage	54829	1	47.800	0.000
T16_D__k141_1286555||full	0.820	0.027	0.820	dsDNAphage	54383	0	41.000	0.000
T76_D__k141_148324||full	0.933	0.113	0.933	dsDNAphage	53035	0	47.700	0.000
T16_D__k141_696864||full	1.000	0.000	1.000	dsDNAphage	52787	4	32.300	3.100
T84_S__k141_567117||full	0.993	0.193	0.993	dsDNAphage	52773	6	86.800	0.000
T76_D__k141_813901||full	0.993	0.033	0.993	dsDNAphage	52720	1	46.700	1.700
T28_S__k141_344591||full	0.987	0.020	0.987	dsDNAphage	50789	4	36.900	1.500
T4_D_k141_1103527||full	0.913	0.153	0.913	dsDNAphage	50553	0	43.800	0.000
T16_S__k141_891408||full	1.000	0.013	1.000	dsDNAphage	49935	5	43.800	1.600
T40_D__k141_1054523||full	1.000	0.167	1.000	dsDNAphage	49396	1	50.700	1.300
T40_D__k141_1099816||full	0.993	0.033	0.993	dsDNAphage	48290	7	52.700	1.800
T16_D__k141_1241417||full	1.000	0.180	1.000	dsDNAphage	48241	2	47.400	1.300
T40_D__k141_753859||full	1.000	0.287	1.000	dsDNAphage	47931	2	49.300	0.000
T100_D__k141_435221||full	1.000	0.393	1.000	dsDNAphage	46979	1	49.400	0.000
T16_D__k141_1231511||full	0.980	0.073	0.980	dsDNAphage	45892	0	42.200	0.000
T4_D_k141_699087||full	1.000	0.047	1.000	dsDNAphage	45770	2	35.300	3.900
T100_D__k141_190002||full	0.967	0.300	0.967	dsDNAphage	45600	0	43.500	0.000
T76_D__k141_1079701||full	1.000	0.287	1.000	dsDNAphage	44383	5	91.500	0.000
